brand,name,feedbacks,nmFeedbacks,id,rating,reviewRating,root,optionId,basic,product
Деревенские лакомства,Корм для кошек сухой полнорационный холистик с овощами 400гр,458,458,208511403,5,4.9,187395033,334187398,1155.0,571.0
SIRIUS,"Корм для кошек сухой Мясной рацион 1,5кг",7,7,462106522,5,5.0,459136287,650199021,1000.0,660.0
Jarvi elaman,"Сухой корм для стерилизованных кошек, Индейка, 400 г",1421,1421,196059917,5,4.9,161910952,318349409,850.0,680.0
ProBalance,"Корм сухой для кошек стерилизованных Sterilized Duck 1,8кг",248,248,316937886,5,4.9,59323481,477956984,1230.0,885.0
FLUPPY,"Корм для кошек сухой 1,5кг полнорационный",467,467,215875838,5,4.8,194797696,344251855,4990.0,1020.0
BLITZ,"Сухой корм для кошек с индейкой, 2 кг",316,316,97704482,5,4.9,386892521,154801945,2970.0,980.0
Ultra,"Сухой корм с курицей для взрослых кошек, 0,6кг",499,499,198569733,5,4.7,180091838,321673676,209.0,188.0
ЗООГУРМАН,"Сухой корм для стерилизованных кошек Говядина 1,5 кг",809,809,176000128,5,4.8,7375160,291622466,1384.0,822.0
KAISER,Сухой корм для кошек 3 кг лосось и хамса,191,191,247609320,5,4.8,214470360,387877482,5490.0,1668.0
Zillii,Сухой корм для кошек стерилизованных гипоаллергенный 400 г,1592,1592,69061749,5,4.9,217514944,118843215,884.0,466.0
BLITZ,Корм для кошек сухой 2 кг с говядиной,643,643,163259191,5,4.8,386892521,272135311,4100.0,1082.0
Jarvi elaman,"Сухой корм для кошек с чувствительным пищеварением, 800 г",211,211,253067604,5,5.0,161910954,395106063,1597.0,1277.0
FLUPPY,"Корм сухой для стерилизованных кошек 1,5кг",14,14,452917209,5,5.0,194797696,639178330,8990.0,1246.0
Деревенские лакомства,"Сухой корм для кошек ""Холистик"" Говядина, 400г",472,472,157375166,5,4.9,142840677,262217041,891.0,570.0
Purr Love,"Корм сухой для стерилизованных кошек, индейка, 1.5 кг",29,29,460862999,5,5.0,459819140,648801602,2105.0,1389.0
ProBalance,Корм сухой для кошек чувствительное пищеварение Sensitive,6763,6763,28191954,5,4.9,20700667,63886940,1428.0,810.0
FELIX,"Корм сухой для кошек курица 1,3 кг",1529,1529,277068160,5,4.9,263529962,426624735,1400.0,425.0
Jarvi elaman,"Сухой корм для кошек с чувствительным пищеварением, 400 г",974,974,253067593,5,4.9,161910954,395106051,851.0,680.0
оскар,"Сухой корм для кошек Мясное ассорти, 2кг х 2шт",1016,1016,18451366,5,4.8,8785666,50055039,1988.0,734.0
BLITZ,Корм для кошек сухой 2 кг Курица и Индейка,1254,1254,97699190,5,4.8,386892521,154795202,3320.0,942.0
PURINA ONE,Сухой корм с говядиной и пшеницей 3 кг,3320,3320,94267944,5,5.0,73482124,150517521,1900.0,1254.0
PET’S BRUNCH,Сухой корм для стерилизованных кошек с печенью 2кг,359,359,204847499,5,4.9,185610565,329471492,1895.0,1013.0
Jarvi elaman,"Сухой корм для стерилизованных кошек и котов, Лосось, 1,5 кг",58,58,443683259,5,5.0,161910952,627791901,2800.0,2240.0
PRO PLAN,"Сухой корм для стерилизованных кошек, с кроликом, 1.5 кг",130,130,401898880,5,5.0,141771405,579734760,2086.0,1376.0
Ultra,"Сухой корм с курицей для взрослых кошек, 1,5кг",723,723,198568619,5,4.8,180091838,321672252,419.0,377.0
BOWL WOW,"Корм для кошек сухой для стерилизованных, супер премиум",1850,1850,141273723,5,4.9,120500391,239335665,1386.0,848.0
Bestler,Корм для кошек сухой стерилизованных 2 кг индейка,1589,1589,185961664,5,4.6,169206030,305578805,1600.0,369.0
PURINA ONE,"Сухой корм для кошек, курица,750г",14,14,344300565,5,4.9,328380084,511663055,730.0,481.0
Best Dinner,"Корм для кошек сухой Утка клюква 1,5 кг",901,901,34692584,5,4.9,31555354,72863721,3365.0,2937.0
Jarvi elaman,"Сухой корм для кошек с чувствительным пищеварением, 1,5 кг",537,537,177419934,5,4.9,161910954,293791332,2800.0,2240.0
Smart Cat,"Корм сухой для стерилизованных кошек курица 1,4 кг",2,2,141314212,5,5.0,177962647,239394674,817.0,735.0
Delicana,"Корм сухой для стерилизованных кошек с индейкой 1,5 кг",314,314,168019473,5,4.9,153992688,279365771,1620.0,933.0
Терра Кот,Корм сухой для кошек говядина овощи 2 кг,12,12,200334668,5,4.7,296449604,323901387,854.0,768.0
Мираторг,"Сухой корм для кошек, с курицей,0,3кг",2718,2718,13925075,5,4.8,10419415,41788002,155.0,155.0
BLITZ,Корм для кошек сухой с говядиной,42,42,201779915,5,5.0,183466828,325713027,2031.0,1153.0
Zillii,Корм для кошек сухой для стерилизованных 2 кг,1150,1150,69061788,5,4.9,217518724,118843253,3020.0,2174.0
PURINA ONE,Сухой корм для стерилизованных кошек,444,444,215875125,5,5.0,111693872,344250967,1900.0,1254.0
